,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
163,0,4,3.18,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,2,1,1,2,2,3,2,1,2,2,3,2,2,1,1,0,4,"Job Security,flaxible Work Life Balanced","Software Development,Database Administration,Data Analysis,ML/AI Engineer,Gaming"
164,0,4,3.34,Patuakhali  Science and technology university (PSTU),1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,3,"Social Acceptance,flaxible Work Life Balanced",BCS
165,0,4,3.38,University of Chittagong (CU),3,3,3,1,3,3,3,2,3,1,1,1,2,2,1,1,0,5,Social Acceptance,"Software Development,Database Administration"
166,0,4,3.55,University of Chittagong (CU),2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,0,0,Job Security,"Bank Job,BCS,Govt Job"
167,0,4,3.92,University of Chittagong (CU),3,3,3,3,2,2,1,2,1,2,3,1,1,3,1,3,2,1,flaxible Work Life Balanced,Abroad
168,0,4,2.92,University of Chittagong (CU),3,3,3,2,3,3,3,2,3,2,3,2,1,2,2,1,0,5,Job Security,"Software Development,Database Administration"
169,0,4,3.05,Rajshahi University of Engineering & Technology (RUET),1,3,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,4,"Salary,Job Environment",Software Development
170,0,4,3.78,Rajshahi University of Engineering & Technology (RUET),2,2,2,1,2,2,2,2,3,2,1,1,1,1,1,1,1,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Abroad"
171,0,4,3.01,Rajshahi University of Engineering & Technology (RUET),2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,0,4,Job Security,Bank Job
172,0,4,3.12,University of Chittagong (CU),1,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,1,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching"
173,0,4,2.9,University of Chittagong (CU),2,3,3,3,2,2,3,3,3,1,3,3,2,3,2,1,1,5,"Salary,Job Environment",Software Development
174,0,4,3.3244034707158354,University of Chittagong (CU),1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Job Security,flaxible Work Life Balanced",Govt Job
